PA,SZ,AG,Sex,TOD,Pop,Time
Ang Mo Kio,Ang Mo Kio Town Centre,0_to_4,Males,HDB 1- and 2-Room Flats,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,0_to_4,Males,HDB 3-Room Flats,10,2022
Ang Mo Kio,Ang Mo Kio Town Centre,0_to_4,Males,HDB 4-Room Flats,10,2022
Ang Mo Kio,Ang Mo Kio Town Centre,0_to_4,Males,HDB 5-Room and Executive Flats,30,2022
Ang Mo Kio,Ang Mo Kio Town Centre,0_to_4,Males,HUDC Flats (excluding those privatised),0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,0_to_4,Males,Condominiums and Other Apartments,50,2022
Ang Mo Kio,Ang Mo Kio Town Centre,0_to_4,Males,Landed Properties,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,0_to_4,Males,Others,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,0_to_4,Females,HDB 1- and 2-Room Flats,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,0_to_4,Females,HDB 3-Room Flats,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,0_to_4,Females,HDB 4-Room Flats,10,2022
Ang Mo Kio,Ang Mo Kio Town Centre,0_to_4,Females,HDB 5-Room and Executive Flats,30,2022
Ang Mo Kio,Ang Mo Kio Town Centre,0_to_4,Females,HUDC Flats (excluding those privatised),0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,0_to_4,Females,Condominiums and Other Apartments,30,2022
Ang Mo Kio,Ang Mo Kio Town Centre,0_to_4,Females,Landed Properties,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,0_to_4,Females,Others,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,5_to_9,Males,HDB 1- and 2-Room Flats,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,5_to_9,Males,HDB 3-Room Flats,10,2022
Ang Mo Kio,Ang Mo Kio Town Centre,5_to_9,Males,HDB 4-Room Flats,10,2022
Ang Mo Kio,Ang Mo Kio Town Centre,5_to_9,Males,HDB 5-Room and Executive Flats,30,2022
Ang Mo Kio,Ang Mo Kio Town Centre,5_to_9,Males,HUDC Flats (excluding those privatised),0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,5_to_9,Males,Condominiums and Other Apartments,80,2022
Ang Mo Kio,Ang Mo Kio Town Centre,5_to_9,Males,Landed Properties,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,5_to_9,Males,Others,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,5_to_9,Females,HDB 1- and 2-Room Flats,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,5_to_9,Females,HDB 3-Room Flats,10,2022
Ang Mo Kio,Ang Mo Kio Town Centre,5_to_9,Females,HDB 4-Room Flats,10,2022
Ang Mo Kio,Ang Mo Kio Town Centre,5_to_9,Females,HDB 5-Room and Executive Flats,40,2022
Ang Mo Kio,Ang Mo Kio Town Centre,5_to_9,Females,HUDC Flats (excluding those privatised),0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,5_to_9,Females,Condominiums and Other Apartments,60,2022
Ang Mo Kio,Ang Mo Kio Town Centre,5_to_9,Females,Landed Properties,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,5_to_9,Females,Others,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,10_to_14,Males,HDB 1- and 2-Room Flats,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,10_to_14,Males,HDB 3-Room Flats,10,2022
Ang Mo Kio,Ang Mo Kio Town Centre,10_to_14,Males,HDB 4-Room Flats,10,2022
Ang Mo Kio,Ang Mo Kio Town Centre,10_to_14,Males,HDB 5-Room and Executive Flats,50,2022
Ang Mo Kio,Ang Mo Kio Town Centre,10_to_14,Males,HUDC Flats (excluding those privatised),0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,10_to_14,Males,Condominiums and Other Apartments,60,2022
Ang Mo Kio,Ang Mo Kio Town Centre,10_to_14,Males,Landed Properties,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,10_to_14,Males,Others,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,10_to_14,Females,HDB 1- and 2-Room Flats,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,10_to_14,Females,HDB 3-Room Flats,10,2022
Ang Mo Kio,Ang Mo Kio Town Centre,10_to_14,Females,HDB 4-Room Flats,20,2022
Ang Mo Kio,Ang Mo Kio Town Centre,10_to_14,Females,HDB 5-Room and Executive Flats,50,2022
Ang Mo Kio,Ang Mo Kio Town Centre,10_to_14,Females,HUDC Flats (excluding those privatised),0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,10_to_14,Females,Condominiums and Other Apartments,80,2022
Ang Mo Kio,Ang Mo Kio Town Centre,10_to_14,Females,Landed Properties,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,10_to_14,Females,Others,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,15_to_19,Males,HDB 1- and 2-Room Flats,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,15_to_19,Males,HDB 3-Room Flats,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,15_to_19,Males,HDB 4-Room Flats,20,2022
Ang Mo Kio,Ang Mo Kio Town Centre,15_to_19,Males,HDB 5-Room and Executive Flats,40,2022
Ang Mo Kio,Ang Mo Kio Town Centre,15_to_19,Males,HUDC Flats (excluding those privatised),0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,15_to_19,Males,Condominiums and Other Apartments,80,2022
Ang Mo Kio,Ang Mo Kio Town Centre,15_to_19,Males,Landed Properties,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,15_to_19,Males,Others,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,15_to_19,Females,HDB 1- and 2-Room Flats,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,15_to_19,Females,HDB 3-Room Flats,10,2022
Ang Mo Kio,Ang Mo Kio Town Centre,15_to_19,Females,HDB 4-Room Flats,20,2022
Ang Mo Kio,Ang Mo Kio Town Centre,15_to_19,Females,HDB 5-Room and Executive Flats,50,2022
Ang Mo Kio,Ang Mo Kio Town Centre,15_to_19,Females,HUDC Flats (excluding those privatised),0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,15_to_19,Females,Condominiums and Other Apartments,90,2022
Ang Mo Kio,Ang Mo Kio Town Centre,15_to_19,Females,Landed Properties,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,15_to_19,Females,Others,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,20_to_24,Males,HDB 1- and 2-Room Flats,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,20_to_24,Males,HDB 3-Room Flats,10,2022
Ang Mo Kio,Ang Mo Kio Town Centre,20_to_24,Males,HDB 4-Room Flats,10,2022
Ang Mo Kio,Ang Mo Kio Town Centre,20_to_24,Males,HDB 5-Room and Executive Flats,40,2022
Ang Mo Kio,Ang Mo Kio Town Centre,20_to_24,Males,HUDC Flats (excluding those privatised),0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,20_to_24,Males,Condominiums and Other Apartments,90,2022
Ang Mo Kio,Ang Mo Kio Town Centre,20_to_24,Males,Landed Properties,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,20_to_24,Males,Others,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,20_to_24,Females,HDB 1- and 2-Room Flats,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,20_to_24,Females,HDB 3-Room Flats,10,2022
Ang Mo Kio,Ang Mo Kio Town Centre,20_to_24,Females,HDB 4-Room Flats,10,2022
Ang Mo Kio,Ang Mo Kio Town Centre,20_to_24,Females,HDB 5-Room and Executive Flats,50,2022
Ang Mo Kio,Ang Mo Kio Town Centre,20_to_24,Females,HUDC Flats (excluding those privatised),0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,20_to_24,Females,Condominiums and Other Apartments,70,2022
Ang Mo Kio,Ang Mo Kio Town Centre,20_to_24,Females,Landed Properties,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,20_to_24,Females,Others,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,25_to_29,Males,HDB 1- and 2-Room Flats,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,25_to_29,Males,HDB 3-Room Flats,20,2022
Ang Mo Kio,Ang Mo Kio Town Centre,25_to_29,Males,HDB 4-Room Flats,10,2022
Ang Mo Kio,Ang Mo Kio Town Centre,25_to_29,Males,HDB 5-Room and Executive Flats,60,2022
Ang Mo Kio,Ang Mo Kio Town Centre,25_to_29,Males,HUDC Flats (excluding those privatised),0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,25_to_29,Males,Condominiums and Other Apartments,50,2022
Ang Mo Kio,Ang Mo Kio Town Centre,25_to_29,Males,Landed Properties,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,25_to_29,Males,Others,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,25_to_29,Females,HDB 1- and 2-Room Flats,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,25_to_29,Females,HDB 3-Room Flats,10,2022
Ang Mo Kio,Ang Mo Kio Town Centre,25_to_29,Females,HDB 4-Room Flats,10,2022
Ang Mo Kio,Ang Mo Kio Town Centre,25_to_29,Females,HDB 5-Room and Executive Flats,40,2022
Ang Mo Kio,Ang Mo Kio Town Centre,25_to_29,Females,HUDC Flats (excluding those privatised),0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,25_to_29,Females,Condominiums and Other Apartments,70,2022
Ang Mo Kio,Ang Mo Kio Town Centre,25_to_29,Females,Landed Properties,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,25_to_29,Females,Others,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,30_to_34,Males,HDB 1- and 2-Room Flats,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,30_to_34,Males,HDB 3-Room Flats,20,2022
Ang Mo Kio,Ang Mo Kio Town Centre,30_to_34,Males,HDB 4-Room Flats,20,2022
Ang Mo Kio,Ang Mo Kio Town Centre,30_to_34,Males,HDB 5-Room and Executive Flats,60,2022
Ang Mo Kio,Ang Mo Kio Town Centre,30_to_34,Males,HUDC Flats (excluding those privatised),0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,30_to_34,Males,Condominiums and Other Apartments,50,2022
Ang Mo Kio,Ang Mo Kio Town Centre,30_to_34,Males,Landed Properties,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,30_to_34,Males,Others,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,30_to_34,Females,HDB 1- and 2-Room Flats,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,30_to_34,Females,HDB 3-Room Flats,10,2022
Ang Mo Kio,Ang Mo Kio Town Centre,30_to_34,Females,HDB 4-Room Flats,20,2022
Ang Mo Kio,Ang Mo Kio Town Centre,30_to_34,Females,HDB 5-Room and Executive Flats,70,2022
Ang Mo Kio,Ang Mo Kio Town Centre,30_to_34,Females,HUDC Flats (excluding those privatised),0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,30_to_34,Females,Condominiums and Other Apartments,50,2022
Ang Mo Kio,Ang Mo Kio Town Centre,30_to_34,Females,Landed Properties,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,30_to_34,Females,Others,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,35_to_39,Males,HDB 1- and 2-Room Flats,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,35_to_39,Males,HDB 3-Room Flats,20,2022
Ang Mo Kio,Ang Mo Kio Town Centre,35_to_39,Males,HDB 4-Room Flats,20,2022
Ang Mo Kio,Ang Mo Kio Town Centre,35_to_39,Males,HDB 5-Room and Executive Flats,50,2022
Ang Mo Kio,Ang Mo Kio Town Centre,35_to_39,Males,HUDC Flats (excluding those privatised),0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,35_to_39,Males,Condominiums and Other Apartments,60,2022
Ang Mo Kio,Ang Mo Kio Town Centre,35_to_39,Males,Landed Properties,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,35_to_39,Males,Others,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,35_to_39,Females,HDB 1- and 2-Room Flats,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,35_to_39,Females,HDB 3-Room Flats,10,2022
Ang Mo Kio,Ang Mo Kio Town Centre,35_to_39,Females,HDB 4-Room Flats,40,2022
Ang Mo Kio,Ang Mo Kio Town Centre,35_to_39,Females,HDB 5-Room and Executive Flats,60,2022
Ang Mo Kio,Ang Mo Kio Town Centre,35_to_39,Females,HUDC Flats (excluding those privatised),0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,35_to_39,Females,Condominiums and Other Apartments,100,2022
Ang Mo Kio,Ang Mo Kio Town Centre,35_to_39,Females,Landed Properties,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,35_to_39,Females,Others,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,40_to_44,Males,HDB 1- and 2-Room Flats,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,40_to_44,Males,HDB 3-Room Flats,10,2022
Ang Mo Kio,Ang Mo Kio Town Centre,40_to_44,Males,HDB 4-Room Flats,20,2022
Ang Mo Kio,Ang Mo Kio Town Centre,40_to_44,Males,HDB 5-Room and Executive Flats,60,2022
Ang Mo Kio,Ang Mo Kio Town Centre,40_to_44,Males,HUDC Flats (excluding those privatised),0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,40_to_44,Males,Condominiums and Other Apartments,80,2022
Ang Mo Kio,Ang Mo Kio Town Centre,40_to_44,Males,Landed Properties,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,40_to_44,Males,Others,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,40_to_44,Females,HDB 1- and 2-Room Flats,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,40_to_44,Females,HDB 3-Room Flats,10,2022
Ang Mo Kio,Ang Mo Kio Town Centre,40_to_44,Females,HDB 4-Room Flats,20,2022
Ang Mo Kio,Ang Mo Kio Town Centre,40_to_44,Females,HDB 5-Room and Executive Flats,70,2022
Ang Mo Kio,Ang Mo Kio Town Centre,40_to_44,Females,HUDC Flats (excluding those privatised),0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,40_to_44,Females,Condominiums and Other Apartments,110,2022
Ang Mo Kio,Ang Mo Kio Town Centre,40_to_44,Females,Landed Properties,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,40_to_44,Females,Others,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,45_to_49,Males,HDB 1- and 2-Room Flats,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,45_to_49,Males,HDB 3-Room Flats,10,2022
Ang Mo Kio,Ang Mo Kio Town Centre,45_to_49,Males,HDB 4-Room Flats,20,2022
Ang Mo Kio,Ang Mo Kio Town Centre,45_to_49,Males,HDB 5-Room and Executive Flats,70,2022
Ang Mo Kio,Ang Mo Kio Town Centre,45_to_49,Males,HUDC Flats (excluding those privatised),0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,45_to_49,Males,Condominiums and Other Apartments,110,2022
Ang Mo Kio,Ang Mo Kio Town Centre,45_to_49,Males,Landed Properties,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,45_to_49,Males,Others,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,45_to_49,Females,HDB 1- and 2-Room Flats,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,45_to_49,Females,HDB 3-Room Flats,10,2022
Ang Mo Kio,Ang Mo Kio Town Centre,45_to_49,Females,HDB 4-Room Flats,30,2022
Ang Mo Kio,Ang Mo Kio Town Centre,45_to_49,Females,HDB 5-Room and Executive Flats,90,2022
Ang Mo Kio,Ang Mo Kio Town Centre,45_to_49,Females,HUDC Flats (excluding those privatised),0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,45_to_49,Females,Condominiums and Other Apartments,120,2022
Ang Mo Kio,Ang Mo Kio Town Centre,45_to_49,Females,Landed Properties,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,45_to_49,Females,Others,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,50_to_54,Males,HDB 1- and 2-Room Flats,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,50_to_54,Males,HDB 3-Room Flats,10,2022
Ang Mo Kio,Ang Mo Kio Town Centre,50_to_54,Males,HDB 4-Room Flats,30,2022
Ang Mo Kio,Ang Mo Kio Town Centre,50_to_54,Males,HDB 5-Room and Executive Flats,60,2022
Ang Mo Kio,Ang Mo Kio Town Centre,50_to_54,Males,HUDC Flats (excluding those privatised),0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,50_to_54,Males,Condominiums and Other Apartments,100,2022
Ang Mo Kio,Ang Mo Kio Town Centre,50_to_54,Males,Landed Properties,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,50_to_54,Males,Others,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,50_to_54,Females,HDB 1- and 2-Room Flats,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,50_to_54,Females,HDB 3-Room Flats,10,2022
Ang Mo Kio,Ang Mo Kio Town Centre,50_to_54,Females,HDB 4-Room Flats,20,2022
Ang Mo Kio,Ang Mo Kio Town Centre,50_to_54,Females,HDB 5-Room and Executive Flats,60,2022
Ang Mo Kio,Ang Mo Kio Town Centre,50_to_54,Females,HUDC Flats (excluding those privatised),0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,50_to_54,Females,Condominiums and Other Apartments,100,2022
Ang Mo Kio,Ang Mo Kio Town Centre,50_to_54,Females,Landed Properties,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,50_to_54,Females,Others,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,55_to_59,Males,HDB 1- and 2-Room Flats,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,55_to_59,Males,HDB 3-Room Flats,20,2022
Ang Mo Kio,Ang Mo Kio Town Centre,55_to_59,Males,HDB 4-Room Flats,20,2022
Ang Mo Kio,Ang Mo Kio Town Centre,55_to_59,Males,HDB 5-Room and Executive Flats,70,2022
